"PremiseID","Premise","HypothesisID","Hypothesis","Grade","Label","Partition"
"premID29","After letting off his rage he sat down like a lamb. ","hypoID115","After letting off his rage he sat down in an obedient way.",3,1,5
"premID157","They were stirring excitement ","hypoID627","They were provoking excitement",4,1,5
"premID5","Success is a bastard as it has many father; failure is an orphan with no takers. ","hypoID20","The bastard had success and the orphan met with failure.",2,1,5
"premID6","While his one live leg made lively echoes along the deck  every stroke of his dead limb sounded like a coffin tap.  ","hypoID24","While his one live leg made lively echoes along the deck every stroke of his dead limb was ghastly.",3,1,5
"premID169","She said he was very sweet and he smiled ","hypoID676","She said she liked him and he smiled",3,1,5
"premID70","His friend was very tall and he looked like a chess piece beside him.  ","hypoID277","His friend was very tall and he looked fat beside him.",1,0,5
"premID134","The new city was a maze for him. ","hypoID536","The new city was simple and clear for him.",1,0,5
"premID1","She was ready to turn her hand and heart to anything that promised to yield safety.  ","hypoID1","She was ready to act and to do anything that seemed to yield safety.",4,1,5
"premID66","Her joy was blinding ","hypoID262","Her joy was mild",2,1,5
"premID76","I never won an argument with him ","hypoID304","It seemed impossible to convince him - in any argument",3,1,5
"premID50","He drowned in a sea of grief. ","hypoID197","He was angry and depressed.",3,1,5
"premID145","The sky was on fire and he felt pain pouring down. ","hypoID578","The sky was green and he felt an intense pain.",1,0,5
"premID33","The faculty meeting was a real war ","hypoID131","The faculty meeting was ridiculous",3,1,5
"premID94","She said that she could smell infidelity from a mile. ","hypoID373","She said that everything was fine.",1,0,5
"premID21","You were dying to believe in what you heard ","hypoID81","When you were dying you did not believe in what you heard",2,1,5
"premID182","She knew she was burning in shame","hypoID728","She knew she was feeling a very mild shame ",2,1,5
"premID15","my love is a summer day ","hypoID60","my feeling of love is very pleasant  like a summer day",4,1,5
"premID12","it is midnight now : all masks fall ","hypoID48","it is afternoon and we are having a party",1,0,5
"premID168","You will love the new train  it is a heavenly ride ","hypoID671","You will love the new train  it is a very boring ride",1,0,5
"premID74","I had already planted the idea in her mind. ","hypoID294","I had already persuaded her of the idea.",3,1,5
"premID176","He thinks these documents will leak out soon or late","hypoID702","He thinks these documents will be disclosed soon or late ",4,1,5
"premID125","The girl could still remember that sweet song ","hypoID499","the girl could still remember that scary song",1,0,5
"premID183","The faculty meeting was an easy breeze","hypoID730","The faculty meeting was calm ",3,1,5
"premID24","we were sinking in an ocean of grass ","hypoID94","we were in a very small prairie",2,1,5
"premID173","The warrior was a lion on the battlefield","hypoID692","The warrior was very smart on the battlefield ",2,1,5
"premID10","he was feeling down hurt and sad  ","hypoID38","he had a broken heart",3,1,6
"premID165","When it rains in Tokyo the city becomes a sea of umbrellas. ","hypoID660","When it rains in Tokyo you won't find umbrellas in it.",1,0,6
"premID78","I was in a very stormy relationship ","hypoID312","Our relationship was in a routine",1,0,6
"premID84","In the worst of times we looked at hope  shining in the dark ","hypoID333","Even in the most difficult times we were able to hope and look at the future",3,1,6
"premID36","By that time my friend was broken so he had to sell his house ","hypoID143","By that time my friend was in a bad financial situation and he had to sell his house",4,1,6
"premID67","Here comes the fool with his foggy brain ","hypoID265","Here comes the fool with his brilliant mind",1,0,6
"premID100","See the sun  far off  a shriveled orange in a sky gone black ","hypoID400","watch the sun in the sky and eat a shriveled orange",1,0,6
"premID65","He was worried they might spill everything about him ","hypoID260","One thing that worried him was that they might tell everything about him",4,1,6
"premID2","She was sure she was living this fantasy romance and kept deluding herself ","hypoID6","she wanted to buy a fantasy romance and kept deluding us",1,0,6
"premID107","The animal shakes its tail in the air like a whip. ","hypoID428","The animal shakes its tail in the air and it resounds in the distance.",3,1,6
"premID14","life is just a dream in the night ","hypoID53","in my life i always dreamed during the night",1,0,6
"premID31","Ahab was a pyramid but I kept kicking at him.  ","hypoID124","Ahab was unmovable but I kept trying to change his mind.",3,1,6
"premID160","Time flies ","hypoID638","time is slow",1,0,6
"premID127","The house was a tomb. ","hypoID506","The house was bright.",1,0,6
"premID149","The woman burst in a warm laughter ","hypoID594","The woman burst in a nice and pleasant laughter",4,1,6
"premID113","He felt a wave of excitement ","hypoID452","he felt excited",3,1,6
"premID146","The soldiers were devils. ","hypoID583","The soldiers were excited and lively.",1,0,6
"premID70","His friend was very tall and he looked like a chess piece beside him.  ","hypoID278","His friend was very tall and he looked short beside him.",4,1,6
"premID161","War was a nightmare. ","hypoID643","War felt unreal.",3,1,6
"premID151","Their honey moon was a dream ","hypoID603","Their honey moon was very pleasant",4,1,6
"premID119","The employee swallows her anger ","hypoID475","The employee speaks her anger",2,1,6
"premID20","the wheels of justice turn slowly ","hypoID77","it can take a long time to see justice prevail on injustice",4,1,6
"premID114","He hated the stench of failure. ","hypoID454","He hated failure.",3,1,6
"premID67","Here comes the fool with his foggy brain ","hypoID267","Here comes the fool with his confused mind",4,1,6
"premID146","The soldiers were devils. ","hypoID584","The soldiers were peaceful and reassuring.",1,0,6
"premID116","She had a bright idea ","hypoID463","She had a complicated idea",2,1,6
"premID95","Nobody cares about the roots of modern civilization. ","hypoID379","Nobody cares about the origins of modern civilization.",4,1,6
"premID155","There were dark corners in his past things he didn't like to remember. ","hypoID619","There were obscure things in his past things he didn't like to remember.",3,1,6
"premID121","The faculty meeting was a war ","hypoID481","At the faculty meeting we talked about war",2,1,6
"premID155","There were dark corners in his past things he didn't like to remember. ","hypoID620","There were reassuring elements in his past things he didn't like to remember.",2,1,6
"premID187","You have to head straight into your fears to win them","hypoID741","you have to deal with the very things that scare you to overcome your fears ",4,1,6
"premID81","I've reached my boiling point. ","hypoID322","I cannot stand this situation anymore.",4,1,6
"premID50","He drowned in a sea of grief. ","hypoID198","He was drowning in the sea.",2,1,6
"premID67","Here comes the fool with his foggy brain ","hypoID268","Here comes the fool with his damaged mind",3,1,6
"premID175","Silence was crushing . I knew the moment had arrived","hypoID699","Silence was short : I knew the moment had arrived ",2,1,6
"premID37","Calm down - there's no need to get all steamed up about it. ","hypoID147","Calm down - there's no need to get excited about it.",2,1,6
"premID14","life is just a dream in the night ","hypoID54","life is a serious matter",1,0,6
"premID73","I asked for your help and you disappeared from radar ","hypoID292","I asked your help and it was impossible to find you",4,1,6
"premID49","He attacked every weak point in my argument ","hypoID193","He helped me improve my argument’s weak points",1,0,6
"premID153","She is fishing in troubled waters. ","hypoID611","She is looking for something that is easy to obtain.",2,1,6
"premID48","He always had an interest for the fruit of knowledge ","hypoID191","He always had an interest for the pineapple of knowledge",1,0,6
"premID134","The new city was a maze for him. ","hypoID535","The new city was hard to navigate for him.",4,1,6
"premID142","The roots of the war were in the economical crisis ","hypoID566","The effect of the war was the economical crisis",2,1,6
"premID125","The girl could still remember that sweet song ","hypoID498","the girl could still remember that nice song",4,1,6
"premID129","The iron in the tail of the animal was a restless needle. ","hypoID513","The iron in the tail of the animal was long and deep.",3,1,6
"premID63","He was living in his dream world  shutting his eyes in front of reality ","hypoID249","He did not want to acknowledge reality and kept denying it",4,1,6
"premID107","The animal shakes its tail in the air like a whip. ","hypoID426","The animal shakes its tail in the air and it is short and thick.",2,1,6
"premID44","Fear had changed him to a shaken jelly. ","hypoID175","He was afraid of shaking jelly.",1,0,6
"premID88","The faculty meeting was a circus ","hypoID351","The faculty meeting was ridiculous",4,1,6
"premID17","she cut him down with her words ","hypoID65","she cheered him up with her words",1,0,6
"premID126","The guy was a floating whale in the small swimming pool. ","hypoID504","The guy was eating whale meat in the small swimming pool.",1,0,6
"premID40","Each blade of grass was a bayonet pointed firmly at our bare feet ","hypoID157","Each blade of grass was a was firmly stinging our bare feet",3,1,6
"premID30","After working two years for the company she was burned out ","hypoID120","After working two years for the company she was without energies and tired",3,1,6
"premID75","I have to kill the program ","hypoID297","I have to forcefully interrupt the program",3,1,6
"premID69","His declarations sparked a fire in the community ","hypoID276","The community generally ignored his declarations",1,0,6
"premID128","You were the golden boy back then ","hypoID510","you were the dangerous boy back then",1,0,6
"premID23","we laid in fields of gold ","hypoID90","we laid in fields of corn",3,1,6
"premID56","He knew how to write sweet words ","hypoID224","He knew how to write menacing words",1,0,6
"premID101","She arrived at the grocery store with an army of children ","hypoID401","Followed by a mass of children  she arrived at the store",3,1,6
"premID15","my love is a summer day ","hypoID58","my feeling of love is hot and falls in july",2,1,6
"premID97","O Moon your light is failing and now you are just a cold bow ","hypoID386","O Moon your light is getting dimmer and now you look like a bow",3,1,6
"premID61","He shot down all my arguments ","hypoID241","He approved my arguments",1,0,6
"premID34","And now they were leaking all kinds of documents ","hypoID136","And now they were hiding away all kinds of documents",1,0,7
"premID118","The darted harpoon was lightning in the sea. ","hypoID469","The darted harpoon was quick and shiny in the sea.",4,1,7
"premID187","You have to head straight into your fears to win them","hypoID744","you have to head straight into your window to win the first price ",2,1,7
"premID72","How can we build a knowledge economy if research is handcuffed? (Barque and Chaumartin 2009) ","hypoID288","It is not possible to build a knowledge economy if researchers are all handcuffed .",3,1,7
"premID33","The faculty meeting was a real war ","hypoID130","The faculty meeting was highly aggressive",4,1,7
"premID25","A break up can leave you with a broken heart. ","hypoID98","A break up can make you feel good and happy.",1,0,7
"premID95","Nobody cares about the roots of modern civilization. ","hypoID378","Nobody cares about the consequences of modern civilization.",2,1,7
"premID26","A golden sun shines high in the sky ","hypoID102","a very bright sun shines high in the sky",4,1,7
"premID59","He pleaded for her forgiveness but Janet was a statue ","hypoID236","He pleaded for her forgiveness but Janet did not listen to him",3,1,7
"premID158","This is a trap sentence ","hypoID632","You should not give this sentence a four",1,0,7
"premID3","She was the light of my life. ","hypoID9","She brought a melancholic feeling into my life.",1,0,7
"premID129","The iron in the tail of the animal was a restless needle. ","hypoID515","The iron in the tail of the animal was strange.",1,0,7
"premID124","The girl broke into the conversation ","hypoID493","The girl abruptly partook the conversation",3,1,7
"premID52","He felt a sudden red pain through his leg ","hypoID207","He felt a sudden intense pleasure through his leg",2,1,7
"premID166","With the crisis the bubble exploded. ","hypoID663","With the crisis a bomb exploded.",2,1,7
"premID35","As for Peleg he took it more like a philosopher. ","hypoID139","As for Peleg himself he responded angrily.",1,0,7
"premID136","The old tenant gave a bittersweet speech ","hypoID544","The old tenant gave a sad speech",2,1,7
"premID151","Their honey moon was a dream ","hypoID601","Their honey moon was a nightmare",1,0,7
"premID4","Faith feeds among the tombs and even from these dead doubts she gathers her most vital hope. ","hypoID16","Someone with faith can maintain hope even among great doubts.",3,1,7
"premID139","The republican convention was a horror show ","hypoID554","The republican convention was a joy to follow",1,0,7
"premID166","With the crisis the bubble exploded. ","hypoID661","The situation changed dramatically with the crisis.",4,1,7
"premID41","Every person has bitter memories ","hypoID162","Every person has depressing or disturbing memories",3,1,7
"premID164","When I looked at my friend after the storm he was a ghost. ","hypoID656","When I looked at my friend after the storm he was quiet.",2,1,7
"premID26","A golden sun shines high in the sky ","hypoID103","a very expensive sun shines high in the sky",2,1,7
"premID39","During the conflict the seeds of peace were planted. ","hypoID153","During the conflict the first elements of a peace accord appeared.",4,1,7
"premID55","He is the apple of my eye. ","hypoID218","I hate him.",1,0,7
"premID82","You were hanging yourself on someone else 's words ","hypoID325","You were hanging yourself because of what someone else said",2,1,7
"premID91","I embarked on life thirty years ago ","hypoID361","I embarked on a ship thirty years ago",2,1,7
"premID35","As for Peleg he took it more like a philosopher. ","hypoID140","As for Peleg himself he was sad and he cried.",1,0,7
"premID82","You were hanging yourself on someone else 's words ","hypoID326","You were happy with what someone else had said",2,1,7
"premID99","People think the old man has a sour temper ","hypoID396","the old man has an unsociable temper or that is what people think",3,1,7
"premID62","He was in a black mood. ","hypoID245","He was angry and depressed.",3,1,7
"premID142","The roots of the war were in the economical crisis ","hypoID565","The economical crisis was the cause of the war",4,1,7
"premID186","I think we should think about the roots of the problem ","hypoID739","I think we should try to understand what caused the problem ",3,1,7
"premID153","She is fishing in troubled waters. ","hypoID610","She is looking for something that is difficult to obtain.",3,1,7
"premID120","The faculty meeting was a tragedy ","hypoID478","The faculty meeting was ridiculous",3,1,7
"premID1","She was ready to turn her hand and heart to anything that promised to yield safety.  ","hypoID3","She was ready to cut her hand and her heart for anything that promised to yield safety.",2,1,7
"premID137","The old woman had an open heart ","hypoID545","The old woman was generous",3,1,7
"premID54","He is in such a hurry he does not run  he flies ","hypoID216","he is in a real hurry so he goes by car",1,0,7
"premID184","He kept us in the dark about his plans","hypoID734","He did not disclose his plans to us ",4,1,7
"premID58","He looked neither one way nor the other way but sat like a carved image. ","hypoID231","He looked neither one way nor the other way but sat with scarcely a sign of active life.",3,1,7
"premID20","the wheels of justice turn slowly ","hypoID80","the wheels of a car turn slowly",2,1,7
"premID24","we were sinking in an ocean of grass ","hypoID93","we were completely surrounded by a large prairie",4,1,7
"premID75","I have to kill the program ","hypoID298","I have to kill who wrote the program",1,0,7
"premID181","When I met the boss he seemed bitter about the whole story","hypoID722","When I met him , the boss seemed quite sad about the fact ",3,1,7
"premID93","My lawyer is a shark ","hypoID370","My lawyer is mean and greedy",3,1,7
"premID14","life is just a dream in the night ","hypoID55","life is just a delusion  something illusory",4,1,7
"premID121","The faculty meeting was a war ","hypoID483","The faculty meeting was ridiculous",2,1,7
"premID43","I demolished his argument ","hypoID169","He had different arguments . I proceeded to show they were all flawed",3,1,7
"premID156","They were burning with desire ","hypoID621","They desired to burn a house",1,0,7
"premID63","He was living in his dream world  shutting his eyes in front of reality ","hypoID250","He had a powerful imagination and used it to ignore the real world",3,1,7
"premID19","the flowers danced in the wind ","hypoID73","the flowers moved in all directions under the wind",4,1,7
"premID40","Each blade of grass was a bayonet pointed firmly at our bare feet ","hypoID159","Grass was very soft and we could walk bare feet",1,0,7
"premID110","You were hanging yourself on someone else 's words ","hypoID437","You believed blinding what someone else said",3,1,7
"premID136","The old tenant gave a bittersweet speech ","hypoID541","The old tenant expressed mixed feelings in his speech",4,1,7
"premID80","I was staring straight into the shining sun ","hypoID319","I was facing something wonderful and dangerous",3,1,7
"premID155","There were dark corners in his past things he didn't like to remember. ","hypoID618","There were negative elements in his past things he didn't like to remember.",4,1,7
"premID65","He was worried they might spill everything about him ","hypoID257","He was worried they might give information about his wife",2,1,7
"premID128","You were the golden boy back then ","hypoID512","you were the loved one everyone's favorite back then",4,1,7
"premID104","The Leviathan in the ocean is a moving country. ","hypoID413","The Leviathan in the ocean is green.",1,0,7
"premID31","Ahab was a pyramid but I kept kicking at him.  ","hypoID123","Ahab was tall and ancient and I kept trying to move him.",2,1,7
"premID7","David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance. ","hypoID26","David looked at Paul in a sad way when Paul invited his new girlfriend to dance.",2,1,7
"premID172","Her pen was a knife","hypoID688","What she wrote was boring ",2,1,8
"premID113","He felt a wave of excitement ","hypoID449","He felt an intense excitement",4,1,8
"premID62","He was in a black mood. ","hypoID246","He was happy and jolly",1,0,8
"premID61","He shot down all my arguments ","hypoID244","He was convinced by my arguments",1,0,8
"premID25","A break up can leave you with a broken heart. ","hypoID99","A break up can make you feel hurt and sad.",4,1,8
"premID146","The soldiers were devils. ","hypoID581","The soldiers appeared dangerous and menacing.",4,1,8
"premID23","we laid in fields of gold ","hypoID89","we laid in fields of bright corn",3,1,8
"premID4","Faith feeds among the tombs and even from these dead doubts she gathers her most vital hope. ","hypoID14","Faith is especially strong in the moments of danger and can it gives hope in times of despair.",3,1,8
"premID167","You disagree ? Ok  shoot ","hypoID666","You disagree ? Ok  shoot yourself",1,0,8
"premID118","The darted harpoon was lightning in the sea. ","hypoID470","The darted harpoon was slow and grey in the sea",1,0,8
"premID77","I was home watching the days slip by from my window ","hypoID305","I was home doing many important things",1,0,8
"premID84","In the worst of times we looked at hope  shining in the dark ","hypoID334","In the worst of times we lost all hopes",1,0,8
"premID113","He felt a wave of excitement ","hypoID450","he felt a mild disappointment",1,0,8
"premID176","He thinks these documents will leak out soon or late","hypoID703","He thinks these documents will become secret soon or late ",2,1,8
"premID129","The iron in the tail of the animal was a restless needle. ","hypoID516","The iron in the tail of the animal was thick and large.",2,1,8
"premID31","Ahab was a pyramid but I kept kicking at him.  ","hypoID122","Ahab was absolutely firm in his intentions but I kept trying to change his mind.",4,1,8
"premID111","The children were roses beautiful and forlorn ","hypoID443","The children were ugly and angry",1,0,8
"premID4","Faith feeds among the tombs and even from these dead doubts she gathers her most vital hope. ","hypoID15","Faith is something strange and hard to understand.",1,0,8
"premID180","The faculty meeting was a nightmare","hypoID719","The faculty meeting was very difficult and emotional ",3,1,8
"premID6","While his one live leg made lively echoes along the deck  every stroke of his dead limb sounded like a coffin tap.  ","hypoID21","While his one live leg made lively echoes along the deck every stroke of his dead limb sounded gloomy.",3,1,8
"premID116","She had a bright idea ","hypoID461","She came up with a brilliant idea",4,1,8
"premID114","He hated the stench of failure. ","hypoID455","He hated to see or experience failure.",4,1,8
"premID11","her smile was a blinding sun ","hypoID42","her smile was incredibly ugly",1,0,8
"premID71","His purplish head was a skull under the moon. ","hypoID282","His purplish head was bald and white under the moon.",3,1,8
"premID122","The future looks very promising  ","hypoID488","the future looks very dark",1,0,8
"premID87","It is sad to observe the fruits of ignorance. ","hypoID348","It is sad to observe the origins of ignorance.",2,1,8
"premID108","The boss will eat me alive if the report arrives late. ","hypoID432","The boss will eat a man if the report arrives late.",2,1,8
"premID50","He drowned in a sea of grief. ","hypoID199","He was extremely sad.",4,1,8
"premID15","my love is a summer day ","hypoID57","my feeling of love is cold and dark  like a summer day",1,0,8
"premID140","The rich man had a cold heart ","hypoID557","The rich man was generous and caring",1,0,8
"premID94","She said that she could smell infidelity from a mile. ","hypoID374","She said that infidelity was apparent to her.",4,1,8
"premID117","You'd better keep away from Bill today because he's in a black mood. ","hypoID465","Bill is angry and sad and so you'd better keep away from him today.",4,1,8
"premID164","When I looked at my friend after the storm he was a ghost. ","hypoID653","When I looked at my friend after the storm he was full of enthusiasm.",1,0,8
"premID92","My friend said the project was a nightmare ","hypoID366","my friend told me the project was relaxing",1,0,8
"premID46","For the end of the year  I was burned and broken ","hypoID184","For the end of the year  I was in bad conditions and without money",3,1,8
"premID64","He was so happy he felt his heart was exploding ","hypoID253","he was overwhelmed by happiness",4,1,8
"premID84","In the worst of times we looked at hope  shining in the dark ","hypoID336","In we worst of times we were tired and confused",1,0,8
"premID111","The children were roses beautiful and forlorn ","hypoID444","The children were young and beautiful",3,1,8
"premID59","He pleaded for her forgiveness but Janet was a statue ","hypoID234","He pleaded for her forgiveness and Janet forgave him",1,0,8
"premID51","He felt a dark sexual desire ","hypoID204","He had a dark fear of sexual desire",1,0,8
"premID86","It always rained in my life  he said ","hypoID342","I was always a true optimist  he said",1,0,8
"premID156","They were burning with desire ","hypoID624","They were uninterested",1,0,8
"premID63","He was living in his dream world  shutting his eyes in front of reality ","hypoID251","He was a very realistic and practical person",1,0,8
"premID143","The seeds of change were planted in 1943 ","hypoID569","1943 was the very beginning of a change",4,1,8
"premID123","The faculty meeting was a comedy show ","hypoID489","At the faculty meeting we watched a comedy show",2,1,8
"premID86","It always rained in my life  he said ","hypoID341","I always have bad things happening to me  he said",4,1,8
"premID97","O Moon your light is failing and now you are just a cold bow ","hypoID387","the Moon became a bow all of a sudden",2,1,8
"premID108","The boss will eat me alive if the report arrives late. ","hypoID430","The boss might be annoyed if the report arrives late.",3,1,8
"premID42","She was the light of my life.","hypoID168","she made it possible to see the road by night",2,1,8
"premID45","Floating on the waves we saw the abandoned boat a dark sight indeed. ","hypoID180","Floating on the waves we saw the abandoned boat and it was sad to see it.",3,1,8
"premID159","Those galaxies were jellyfishes in the abyss of space. ","hypoID636","Those galaxies were bright in the darkness of space.",3,1,8
"premID82","You were hanging yourself on someone else 's words ","hypoID328","You were ready to die for what someone else said",3,1,8
"premID158","This is a trap sentence ","hypoID629","If you give a high score to this sentence you don’t get paid",1,0,8
"premID105","The President brushed aside the accusations ","hypoID418","The president basically dismissed all the accusations",4,1,8
"premID66","Her joy was blinding ","hypoID264","Her joy was strong and intense",4,1,8
"premID66","Her joy was blinding ","hypoID263","Her joy was overwhelming",4,1,8
"premID156","They were burning with desire ","hypoID623","They were burning a house",1,0,8
"premID68","His condescending attitude made my blood boil. ","hypoID271","His condescending attitude made me really angry.",4,1,8
"premID14","life is just a dream in the night ","hypoID56","the nature of life is ephemeral",3,1,8
"premID72","How can we build a knowledge economy if research is handcuffed? (Barque and Chaumartin 2009) ","hypoID285","How can I build a house if when I am handcuffed ?",1,0,8
"premID177","The weeks crawled by until we could meet again","hypoID706","the weeks seemed to pass fast until we could meet again ",2,1,8
"premID143","The seeds of change were planted in 1943 ","hypoID570","The change started back in 1943",4,1,8
"premID110","You were hanging yourself on someone else 's words ","hypoID439","You gave an extreme importance to what someone else said",3,1,9
"premID51","He felt a dark sexual desire ","hypoID203","He felt an obscure and disquieting sexual desire",4,1,9
"premID31","Ahab was a pyramid but I kept kicking at him.  ","hypoID121","Ahab was a tomb and I kept hitting him.",2,1,9
"premID178","Words are weapons","hypoID712","Weapons are words ",2,1,9
"premID32","All the following sentences have nothing to do with this sentence ","hypoID128","He thinks these documents will become secret soon or late",1,0,9
"premID165","When it rains in Tokyo the city becomes a sea of umbrellas. ","hypoID657","Tokyo is filled with umbrellas when it rains.",4,1,9
"premID129","The iron in the tail of the animal was a restless needle. ","hypoID514","The iron in the tail of the animal was long and thin.",3,1,9
"premID183","The faculty meeting was an easy breeze","hypoID729","The faculty meeting was ridiculous ",2,1,9
"premID186","I think we should think about the roots of the problem ","hypoID737","I think we should think about the consequences of the problem ",2,1,9
"premID60","He said the leaders will have to deal with an ocean of resentment ","hypoID240","The leaders  he said  will have to confront a very widespread and intense resentment",4,1,9
"premID80","I was staring straight into the shining sun ","hypoID317","I had decided to deal with the truth",3,1,9
"premID158","This is a trap sentence ","hypoID631","This is not even semantically related",1,0,9
"premID17","she cut him down with her words ","hypoID67","she put him down with her words",4,1,9
"premID117","You'd better keep away from Bill today because he's in a black mood. ","hypoID467","You'd better keep away from Bill today because he's happy.",1,0,9
"premID177","The weeks crawled by until we could meet again","hypoID708","during the week , people crawled by until we could meet again ",2,1,9
"premID29","After letting off his rage he sat down like a lamb. ","hypoID116","After letting off his rage he sat down very mildly.",4,1,9
"premID90","Mark ’s comments are an acid bath for my nerves. ","hypoID360","Mark ’s comments are sarcastic and irritating.",4,1,9
"premID112","He felt a wave of anger ","hypoID448","he felt an intense rage",3,1,9
"premID174","The faculty meeting was a breeze","hypoID696","At the faculty meeting we talked about the breeze ",2,1,9
"premID85","She was lost in her thoughts and memories ","hypoID338","She was attentive and present to the conversation",1,0,9
"premID170","Jane knew these dicsussions were the seeds of a potential conflict","hypoID677","Jane knew these discusssions were the beginning of a potential conflict ",4,1,9
"premID77","I was home watching the days slip by from my window ","hypoID308","I was home thinking about the time I was wasting",3,1,9
"premID186","I think we should think about the roots of the problem ","hypoID740","I think we should clarify the reasons of the problem ",3,1,9
"premID37","Calm down - there's no need to get all steamed up about it. ","hypoID146","Calm down - there's no need to get enthusiastic about it.",2,1,9
"premID89","Katie’s plan to get into college was a house of cards on a crooked table ","hypoID355","Katie’s plan to get into college was hopeless and based on wishful thinking",4,1,9
"premID120","The faculty meeting was a tragedy ","hypoID480","the faculty meeting was very bad",4,1,9
"premID90","Mark ’s comments are an acid bath for my nerves. ","hypoID357","Mark made some comments about my nerves.",1,0,9
"premID64","He was so happy he felt his heart was exploding ","hypoID255","he was so happy his car exploded",1,0,9
"premID64","He was so happy he felt his heart was exploding ","hypoID256","he was very happy",3,1,9
"premID55","He is the apple of my eye. ","hypoID217","He has an apple and an eye.",2,1,9
"premID38","David is a worm for what he did to Shelia ","hypoID151","David lives underground for what he did to Shelia",2,1,9
"premID147","The war devoured so many lives. ","hypoID585","So many people were killed in the war.",4,1,9
"premID169","She said he was very sweet and he smiled ","hypoID675","She said he was very nice and he smiled",4,1,9
"premID13","an ancient anger exploded in his heart ","hypoID51","his ancient anger disappeared and he was happy",1,0,9
"premID42","She was the light of my life.","hypoID167","When it was dark I could see the road because she was shining and bright.",2,1,9
"premID11","her smile was a blinding sun ","hypoID43","her smile was wonderful and could rejoice",3,1,9
"premID131","The moment had arrived for killing the past and coming back to life ","hypoID524","the moment had arrived to think about what had happened and remember",1,0,9
"premID158","This is a trap sentence ","hypoID630","If you score this high I am sad",1,0,9
"premID121","The faculty meeting was a war ","hypoID482","The faculty meeting was highly aggressive",4,1,9
"premID131","The moment had arrived for killing the past and coming back to life ","hypoID522","the moment had arrived to stop thinking about the past and think about the future",4,1,9
"premID81","I've reached my boiling point. ","hypoID321","I am boiling some water.",2,1,9
"premID73","I asked for your help and you disappeared from radar ","hypoID291","I asked you for help and you were reparing a radar",1,0,9
"premID112","He felt a wave of anger ","hypoID445","He felt an intense anger",4,1,9
"premID156","They were burning with desire ","hypoID622","They felt an intense desire",4,1,9
"premID132","She had a heart of stone. ","hypoID526","She was cold and indifferent.",4,1,9
"premID168","You will love the new train  it is a heavenly ride ","hypoID670","You will love the new train  it is a great ride that it offers",4,1,9
"premID174","The faculty meeting was a breeze","hypoID693","The faculty meeting was ridiculous ",2,1,9
"premID182","She knew she was burning in shame","hypoID726","She knew she was feeling shame ",3,1,9
"premID123","The faculty meeting was a comedy show ","hypoID492","The faculty meeting was very interesting",1,0,9
"premID169","She said he was very sweet and he smiled ","hypoID673","She said he was covered in sugar and he smiled",2,1,9
"premID76","I never won an argument with him ","hypoID302","I never managed to prevail in an argument with him",4,1,9
"premID85","She was lost in her thoughts and memories ","hypoID339","She was distracted by her thoughts and memories",4,1,9
"premID161","War was a nightmare. ","hypoID641","I had a dream.",1,0,9
"premID60","He said the leaders will have to deal with an ocean of resentment ","hypoID238","He said the leaders will have to deal with some little displeasure",2,1,9
"premID115","The computer in the classroom was a dinosaur ","hypoID460","The computer in the classroom was very small",1,0,9
"premID22","then a colorful joy exploded in her chest ","hypoID86","then she felt an intense joy",4,1,9
"premID106","The animal in the middle of the sea was a mountain. ","hypoID423","The animal in the middle of the sea was tall.",3,1,9
"premID174","The faculty meeting was a breeze","hypoID695","The faculty meeting was very easy and relaxing ",4,1,9
"premID44","Fear had changed him to a shaken jelly. ","hypoID173","Fear made him shudder all over.",4,1,9
"premID168","You will love the new train  it is a heavenly ride ","hypoID669","You will love the new train  it goes through Heaven",2,1,9
"premID20","the wheels of justice turn slowly ","hypoID78","it might take time but eventually justice prevails",4,1,9
"premID76","I never won an argument with him ","hypoID303","I never won a battle with him",2,1,9
"premID180","The faculty meeting was a nightmare","hypoID718","The faculty meeting was calm and relaxing ",2,1,10
"premID38","David is a worm for what he did to Shelia ","hypoID152","Given what he did to Shelia I have a low opinion of David",3,1,10
"premID115","The computer in the classroom was a dinosaur ","hypoID457","In the class there was a computer that was incredibly old and big",4,1,10
"premID81","I've reached my boiling point. ","hypoID324","the news got you angry.",3,1,10
"premID154","Then they cried a sea of tears ","hypoID615","then they were very sad",3,1,10
"premID2","She was sure she was living this fantasy romance and kept deluding herself ","hypoID5","she thought she was having a romantic story",2,1,10
"premID153","She is fishing in troubled waters. ","hypoID612","She is looking for trouble.",3,1,10
"premID53","He is grinning like an ape. ","hypoID212","He is smiling in a charming way.",2,1,10
"premID83","If you are drowning in a sea of minor problems you cannot focus on what matters ","hypoID330","If you have a high number of minor problems you cannot focus on what matters",4,1,10
"premID135","The news inflamed your temper. ","hypoID537","The news made you very angry.",4,1,10
"premID22","then a colorful joy exploded in her chest ","hypoID85","then her chest exploded due to excessive joy",2,1,10
"premID87","It is sad to observe the fruits of ignorance. ","hypoID347","It is sad to observe the effects of ignorance.",4,1,10
"premID132","She had a heart of stone. ","hypoID525","She had a heart and a stone.",2,1,10
"premID62","He was in a black mood. ","hypoID248","He was irritable and angry.",4,1,10
"premID186","I think we should think about the roots of the problem ","hypoID738","I think we should think about the origins of the problem ",4,1,10
"premID27","He had a full bag of memories to unload. ","hypoID105","He had a lot of memories to communicate to someone.",3,1,10
