PremiseID,HypothesisID,Premise,TranslationToCZ,BinaryLabel,Hypothesis,MachineTranslationToENfromCZ,Grade,Partition
premID102,hypoID407,She was just a trophy to Ricardo ,Pro Richarda byla známkou úspěchu.,1,She was just a sign of accomplishment to Ricardo,"To Richard, it was a sign of success.",4,3
premID179,hypoID715,Her eyes were fireflies,Její oči byly tmavé a hluboké.,0,Her eyes were dark and deep ,Her eyes were dark and deep.,2,3
premID163,hypoID651,We still ignore how the seed of life was planted on our planet ,"Stále si nevšímáme toho, jak vznikl život na naší planetě.",1,We still ignore how life was started on our planet,We're still oblivious to how life originated on our planet.,4,3
premID164,hypoID655,When I looked at my friend after the storm he was a ghost. ,"Když jsem se po bouřce díval na svého přítele, byl bledý a tichý.",1,When I looked at my friend after the storm he was pale and silent.,"When I looked at my friend after the storm, he was pale and quiet.",4,3
premID20,hypoID79,the wheels of justice turn slowly ,Spravedlnost vládne ve velmi krátkém čase.,0,justice prevails in very little time,Justice rules in a very short time.,2,3
premID112,hypoID447,He felt a wave of anger ,Cítil jak ho přemáhá intenzivní vztek.,1,he felt an intense anger overcoming him,He felt an intense rage sweep over him.,4,3
premID148,hypoID590,The wind howled; the waves dashed their bucklers together - we were in the jaws of death ,"Vítr řval, vlny se srážely – byli jsme ve velkém nebezpečí.",1,The wind roared; the waves collided - we were in great danger.,"The wind roared, the waves collided - we were in great danger.",4,3
premID69,hypoID275,His declarations sparked a fire in the community ,Jeho prohlášení nechala komunitu chladnou.,0,His declarations left the community unimpressed,His statements left the community cold.,2,3
premID139,hypoID555,The republican convention was a horror show ,Republikánská úmluva byla velmi zneklidňující.,1,The republican convention was very distressing,The Republican Convention was very upsetting.,4,3
premID83,hypoID329,If you are drowning in a sea of minor problems you cannot focus on what matters ,"Pokud se utopíte v moři, máte problém.",0,If you drown in the sea then you have a problem,"If you drown in the sea, you have a problem.",2,3
premID99,hypoID394,People think the old man has a sour temper ,"Lidé myslí, že ten starý pán má klidnou povahu.",0,people think the old man has a peaceful temper,People think the old man has a quiet temper.,1,3
premID137,hypoID547,The old woman had an open heart ,Stará žena byla introvertní.,0,The old woman was introvert,The old woman was introverted.,1,3
premID47,hypoID185,From its blue vase the rose of evening drops ,Na modré obloze je západ slunce růžový.,1,in the blue sky the sunset is rose,"In a blue sky, the sunset is pink.",3,3
premID157,hypoID628,They were stirring excitement ,Dusili vzrušení.,0,They were suffocating excitement,They stifled excitement.,1,3
premID57,hypoID227,He lived in a state of deep terror ,Žil ve stavu mírného nepohodlí.,0,He lived in a state of mild discomfort,He lived in a state of mild discomfort.,2,3
premID143,hypoID571,The seeds of change were planted in 1943 ,Naděje na změnu zmizely v roce 1943.,0,The hopes for a change vanished in 1943,Hopes for change vanished in 1943.,1,3
premID176,hypoID701,He thinks these documents will leak out soon or late,"Myslí si, že tyto dokumenty budou známy dříve nebo později.",1,He thinks these documents will become known soon or late ,They think these documents will be known sooner or later.,4,3
premID43,hypoID171,I demolished his argument ,"Ukázal jsem, že všechny jeho argumenty byly nekonzistentní.",1,I demonstrated that all his arguments were inconsistent,I showed that all his arguments were inconsistent.,4,3
premID85,hypoID337,She was lost in her thoughts and memories ,Věnovala malou pozornost svým vzpomínkám a myšlenkám.,0,She payed little attentions to her memories and thoughts,She paid little attention to her memories and thoughts.,1,3
premID11,hypoID44,her smile was a blinding sun ,Její úsměv byl úžasný a naplňoval zrak.,1,her smile was wonderful and fulfilling to see,Her smile was amazing and filled the vision.,4,3
premID109,hypoID436,The captain was a tall and noble statue. ,"Kapitán byl vysoký, vznešený a tichý.",1,The captain was tall noble and still.,"The captain was tall, noble and quiet.",3,3
premID170,hypoID680,Jane knew these dicsussions were the seeds of a potential conflict,"Jane věděla, že tyto diskuse byly koncem možného konfliktu.",0,Jane knew these discussions were the end of a potential conflict ,Jane knew that these discussions were the end of a possible conflict.,2,3
premID77,hypoID307,I was home watching the days slip by from my window ,Byl jsem doma a opravoval všechna okna.,0,I was home reparing all the windows,I was at home fixing all the windows.,1,3
premID146,hypoID582,The soldiers were devils. ,Vojáci byli nebezpeční a agresivní.,1,The soldiers were dangerous and aggressive.,The soldiers were dangerous and aggressive.,4,3
premID28,hypoID109,Adam did not understand the root of the crisis ,"Adam nepochopil, co byly příčiny krize.",1,Adam did not manage to understand what the causes of the crisis were,Adam didn't understand what the causes of the crisis were.,4,3
premID118,hypoID471,The darted harpoon was lightning in the sea. ,Harpuna byla vystřelena do moře.,0,The harpoon was darted in the sea.,The harpoon was fired into the sea.,2,3
premID155,hypoID617,There were dark corners in his past things he didn't like to remember. ,"Ve své minulosti dosáhl skvělých úspěchů, které si nechtěl pamatovat.",0,There were excellent achievements in his past things he didn't like to remember.,"In his past, he's had great successes he didn't want to remember.",1,3
premID103,hypoID411,I was alone in a sea of unknown faces ,Byl jsem jediný v exluzivním klubu neznámých tváří.,0,I was alone in an exclusive club of unknown faces,I was the only one in an exclusive club of unfamiliar faces.,2,3
premID150,hypoID600,The woman had a blue feeling ,"To, co žena cítila, byl druh melancholie.",1,What the woman was feeling was a kind of melancholy,What the woman felt was a kind of melancholy.,4,4
premID177,hypoID705,The weeks crawled by until we could meet again,"Zdálo se, že týdny ubíhaly pomalu, než jsme se mohli zase setkat.",1,The weeks seemed to pass slowly until we could meet again ,The weeks seemed to pass slowly before we could meet again.,4,4
premID82,hypoID327,You were hanging yourself on someone else 's words ,Byl jsi netečný vůči tomu co někdo řekl.,0,You were oblivious of what someone else had said,You were indifferent to what someone said.,2,4
premID117,hypoID466,You'd better keep away from Bill today because he's in a black mood. ,"Bude lepší, když se budeš dneska držet od Billa dál, protože je naštvaný a smutný.",1,You'd better keep away from Bill today because he's angry and sad.,You better stay away from Bill today because he's angry and sad.,4,4
premID178,hypoID711,Words are weapons,Slova jsou lingvistické abstrakce.,0,Words are linguistic abstractions ,Words are linguistic abstractions.,2,4
premID94,hypoID376,She said that she could smell infidelity from a mile. ,"Řekla, že něco hodně zapáchalo.",0,She said that something smelled very bad.,She said something smelled bad.,2,4
premID114,hypoID453,He hated the stench of failure. ,Nenáviděl ten specifický zápach.,0,He hated a specific stench.,He hated the specific smell.,2,4
premID56,hypoID221,He knew how to write sweet words ,Věděl jak psát japonská slova.,0,He knew how to write Japanese words,He knew how to write Japanese words.,1,4
premID181,hypoID723,When I met the boss he seemed bitter about the whole story,"Když jsem potkal šéfa, vypadal, že má z té celé situace radost.",0,When I met the boss he seemed happy about the whole story ,"When I met the boss, he seemed happy about the whole situation.",2,4
premID127,hypoID505,The house was a tomb. ,Dům byl velký.,0,The house was big.,The house was big.,2,4
premID56,hypoID222,He knew how to write sweet words ,Věděl jak psát souhlasná slova.,1,He knew how to write agreeable words,He knew how to write affirmative words.,3,4
premID103,hypoID409,I was alone in a sea of unknown faces ,Byl jsem sám v kruhu neznámých tváří.,1,I was alone in a circle of unknown faces,I was alone in a circle of unfamiliar faces.,3,4
premID116,hypoID462,She had a bright idea ,Měla špatný nápad.,0,She had a bad idea,She had the wrong idea.,1,4
premID122,hypoID486,The future looks very promising ,Budoucnost je skalnatá hora.,0,the future is a rocky mountain,The future is a rocky mountain.,1,4
premID95,hypoID380,Nobody cares about the roots of modern civilization. ,"Nikdo se nesnaží porozumět, co vytvořilo moderní civilizaci.",1,Nobody tries to understand what produced modern civilization.,No one is trying to understand what created modern civilization.,4,4
premID124,hypoID495,The girl broke into the conversation ,Během té konverzace zůstávala dívka potichu.,0,The girl remained silent during the conversation,"During that conversation, the girl remained silent.",1,4
premID142,hypoID568,The roots of the war were in the economical crisis ,"Důvody, které vedly k válce, byly v ekonomické krizi.",1,The reasons that carried to the war were in the economical crisis,The reasons that led to the war were in the economic crisis.,3,4
premID178,hypoID709,Words are weapons,Slova mají moc a mohou mít významný dopad.,1,Words are powerful and can have significant impact ,Words have power and can have a significant impact.,4,4
premID101,hypoID403,She arrived at the grocery store with an army of children ,Přišla do potravin s několika dětmi.,0,She arrived at the grocery store with few children,She came to the grocery store with some children.,1,4
premID147,hypoID588,The war devoured so many lives. ,Válka děsila tolik lidí.,0,The war scared so many people.,The war terrified so many.,1,4
premID133,hypoID531,The new band was absolutely on fire ,Nová kapela unikla ohni.,0,the new band was escaping a fire,The new band escaped the fire.,1,4
premID157,hypoID626,They were stirring excitement ,Opájeli se vzrušením.,0,They were drinking excitement,They were drunk with excitement.,1,4
premID3,hypoID12,She was the light of my life. ,Měla světlo a život.,0,She had a light and a life.,She had light and life.,2,4
premID145,hypoID579,The sky was on fire and he felt pain pouring down. ,Obloha byla rudá a on cítil intenzivní bolest.,1,The sky was red and he felt an intense pain.,"The sky was red, and he felt intense pain.",3,4
premID181,hypoID721,When I met the boss he seemed bitter about the whole story,"Když jsem potkal šéfa, vypadal z celého příběhu smutně.",1,When I met the boss he seemed sad about the whole story ,"When I met the boss, he seemed sad about the whole story.",4,4
premID152,hypoID605,Your words surround me but I will not surrender ,"To, co říkáte, je výzva, ale já se držím svého.",1,What you say is challenging but I keep my point,"What you're saying is a challenge, but I'm holding my own.",3,4
premID159,hypoID633,Those galaxies were jellyfishes in the abyss of space. ,Tyto galaxie měly v meziplanetárním prostoru mimozemský vzhled.,0,Those galaxies had an alien look in outer space.,These galaxies had an extraterrestrial appearance in interplanetary space.,2,4
premID135,hypoID540,The news inflamed your temper. ,Zpráva hořela a byla ožehavá.,0,The news was on fire and in flames.,The message was burning and hot.,1,4
premID147,hypoID586,The war devoured so many lives. ,Válka zabila tak mnoho lidí.,1,The war killed so many people.,The war killed so many people.,4,4
premID177,hypoID707,The weeks crawled by until we could meet again,"Týdny šly jako obvykle, do té doby než jsme se mohli znovu setkat.",0,the weeks went as usual until we could meet again ,"Weeks went on as usual, until we could meet again.",2,4
premID71,hypoID283,His purplish head was a skull under the moon. ,Jeho nafialovělá hlava byla v záři měsíce černá a vlasatá.,0,His purplish head was black and hairy under the moon.,His purplish head was black and hairy in the moonlight.,1,4
premID13,hypoID50,an ancient anger exploded in his heart ,"Byl přemožen vztekem, který potlačoval dlouhou dobu.",1,he was overwhelmed by an anger he had suppressed for a long time,He was overcome with a rage he had suppressed for a long time.,4,4
premID98,hypoID391,Our whole life we swim against the waves towards the green light of happiness. ,"Celý život se snažíme dosáhnout štěstí, i když je to obtížné.",1,Our whole life we try to reach happiness even if it is difficult.,"We spend our lives trying to achieve happiness, even if it's difficult.",4,4
premID60,hypoID239,He said the leaders will have to deal with an ocean of resentment ,"Řekl, že vůdci se budou muset plavit po oceánu co nejdříve.",0,He said the leaders will have to sail the ocean as soon as possible,He said the leaders would have to sail the ocean as soon as possible.,1,4
premID184,hypoID735,He kept us in the dark about his plans,Vysvětlil nám celý jeho plán.,0,He communicated all his plans to us ,He explained his whole plan.,2,4
premID88,hypoID349,The faculty meeting was a circus ,Na poradě fakulty jsme se koukali na komedii.,0,At the faculty meeting we watched a comedy show,We watched comedy in the faculty meeting.,1,4
premID34,hypoID134,And now they were leaking all kinds of documents ,A teď pálili všechny druhy dokumentů.,0,And now they were burning all kinds of documents,And now they were burning all kinds of documents.,1,4
premID26,hypoID104,A golden sun shines high in the sky ,Žluté slunce svítí vysoko na nebi.,1,a yellow sun shines high in the sky,The yellow sun shines high in the sky.,3,4
premID54,hypoID214,He is in such a hurry he does not run he flies ,"Spěchá tak moc, že jde.",0,He is in such a hurry that he walks,He's in such a hurry to go.,2,4
premID162,hypoID645,We dug up some interesting facts ,Skryli jsme některá zajímavá fakta.,0,We have concealed some interesting facts,We hid some interesting facts.,1,4
premID117,hypoID468,You'd better keep away from Bill today because he's in a black mood. ,"Dneska byste se raději měli držet dál od Billa, protože je v černém autě.",0,You'd better keep away from Bill today because he's in a black car.,You better stay away from Bill today because he's in a black car.,1,4
premID9,hypoID35,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow ,Pouliční lampy visí z ulic a vrhají své světlo na obličeje lidí.,1,the street lamps hang from the streets and cast their light on people 's faces,"Streetlights hang from the streets, casting their light on people's faces.",4,4
premID167,hypoID665,You disagree ? Ok shoot ,"Pokud nesouhlasíš, tak řekni co si myslíš.",1,If you disagree then speak your mind,"If you disagree, then say what you think.",3,4
premID52,hypoID206,He felt a sudden red pain through his leg ,Náhle pocítil intenzivní bolest v noze.,1,He felt a sudden intense pain through his leg,Suddenly he felt an intense pain in his leg.,4,4
premID167,hypoID668,You disagree ? Ok shoot ,"Nesouhlasíš? Dobře, řekni proč.",1,You disagree ? Ok tell why,"You disagree? Okay, tell me why.",4,4
premID16,hypoID63,my soul was a lampless sea and she was the tempest ,Moje nálada byla skvělá a byl jsem do ní zamilovaný.,0,my mood was great and i was in love with her,My mood was great and I was in love with her.,1,4
premID36,hypoID141,By that time my friend was broken so he had to sell his house ,Tou dobou můj přítel měl zlomeninu a musel prodat jeho dům.,0,By that time my friend had a broken bone and he had to sell his house,"By this time, my friend had a fracture and had to sell his house.",1,4
premID50,hypoID200,He drowned in a sea of grief. ,Byl šťastný a rozjařený.,0,He was happy and jolly.,He was happy and exhilarated.,1,4
premID151,hypoID604,Their honey moon was a dream ,Velmi si užili svou svatební noc.,1,They highly enjoyed their honey moon,They had a great time on their wedding night.,4,4
premID140,hypoID560,The rich man had a cold heart ,Osobnost bohatého člověka byla charakterizována sobectvím.,1,The rich man’s personality was characterised by selfishness,The personality of a rich person was characterized by selfishness.,3,4
premID65,hypoID259,He was worried they might spill everything about him ,"Bál se, že by o něm mohli říct všechno.",1,He was worried they might tell everything about him,He was afraid they might say everything about him.,4,4
premID184,hypoID736,He kept us in the dark about his plans,Držel nás v temné místnosti.,0,He kept us in a dark room ,He kept us in a dark room.,2,4
premID23,hypoID91,we laid in fields of gold ,Lehli jsme si do polí zelené trávy.,0,we laid in fields of green grass,We lay down in the fields of green grass.,2,4
premID100,hypoID398,See the sun far off a shriveled orange in a sky gone black ,"Podívejte se na slunce v dálce, vypadá velké a bílé na obloze jdoucí do černa.",0,see the sun far off it looks large and white in a sky gone black,"Look at the sun in the distance, it looks big and white in the sky going black.",2,4
premID56,hypoID223,He knew how to write sweet words ,Věděl jak napsat něco milého a pěkného.,1,He knew how to write down something nice and pleasant,He knew how to write something nice and nice.,4,4
premID60,hypoID237,He said the leaders will have to deal with an ocean of resentment ,"Řekl, že se lídři budou potýkat s velkou mírou odporu.",1,He said the leaders will have to deal with a large amount of resentment,He said leaders would face a great deal of resistance.,4,4
premID152,hypoID607,Your words surround me but I will not surrender ,"Mluvíte hodně a přesvědčivě, ale já vás neposlouchám.",1,You speak profusely and in convincing ways but I do not listen to you,"You talk a lot and convincingly, but I'm not listening.",4,4
premID139,hypoID553,The republican convention was a horror show ,Republikánští kandidáti byli strašní lidé na shromáždění.,1,Republican candidates during the convention were terrible people,The Republican candidates were terrible people at the rally.,3,4
premID69,hypoID273,His declarations sparked a fire in the community ,Jeho prohlášení vyvolala v komunitě úzkost.,1,His declarations caused distress in the community,His statements have caused anxiety in the community.,3,4
premID75,hypoID300,I have to kill the program ,Musím ukončit ten program.,1,I have to terminate the program,I have to end the program.,4,4
premID145,hypoID577,The sky was on fire and he felt pain pouring down. ,Byl západ slunce a on cítil intenzivní bolest.,1,It was sunset and he felt an intense pain.,"It was sunset, and he felt intense pain.",3,5
premID111,hypoID441,The children were roses beautiful and forlorn ,Děti se zdály být krásné a křehké.,1,The children appeared beautiful and fragile,The children seemed beautiful and fragile.,4,5
premID160,hypoID637,Time flies ,Je čas na mouchy.,0,it is time for flies,It's fly time.,2,5
premID120,hypoID477,The faculty meeting was a tragedy ,Porada fakulty byla velmi agresivní.,0,The faculty meeting was highly aggressive,The faculty meeting was very aggressive.,2,5
premID94,hypoID375,She said that she could smell infidelity from a mile. ,"Řekla, že jasně viděla, jak ta osoba podvádí.",1,She said that she clearly saw that the person was cheating.,She said she clearly saw the person cheating.,3,5
premID172,hypoID687,Her pen was a knife,Napsala krutá slova.,1,She wrote cruel words ,She wrote cruel words.,3,5
premID92,hypoID365,My friend said the project was a nightmare ,"Kamarád řekl, že projekt byl úděsný.",1,My friend said the project was very distressing,A friend said the project was horrendous.,4,5
premID35,hypoID138,As for Peleg he took it more like a philosopher. ,"Pokud jde o Pelega, odpověděl zamyšleně.",1,As for Peleg he responded in a thoughtful way.,"As for Peleg, he answered thoughtfully.",4,5
premID16,hypoID64,my soul was a lampless sea and she was the tempest ,Moje duše byla zoufalá a ona byla příčinou.,1,my soul was in despair and she was the cause,My soul was desperate and she was the cause.,4,5
premID21,hypoID84,You were dying to believe in what you heard ,"Mysleli jste si, že to, co jste slyšeli, bylo vtipné.",0,You thought what you heard was funny,You thought what you heard was funny.,2,5
premID135,hypoID539,The news inflamed your temper. ,Zprávy byly o hořící továrně.,0,The news was about a burning factory.,Reports were of a factory on fire.,1,5
premID28,hypoID111,Adam did not understand the root of the crisis ,Adam nerozuměl řešení krize.,0,Adam did not understand the solution to the crisis,Adam didn't understand the crisis.,2,5
premID34,hypoID135,And now they were leaking all kinds of documents ,A nyní zveřejňovali všechny druhy dokumentů.,1,And now they were disclosing all kinds of documents,And now they were releasing all kinds of documents.,4,5
premID41,hypoID163,Every person has bitter memories ,Každý člověk má radostné vzpomínky.,0,Every person has joyful memories,Every man has fond memories.,1,5
premID123,hypoID491,The faculty meeting was a comedy show ,Schůze fakulty byla směšná.,1,The faculty meeting was ridiculous,The faculty meeting was ridiculous.,4,5
premID183,hypoID731,The faculty meeting was an easy breeze,Fakultní schůzka bylo velmi jednoduché a uvolněné.,1,The faculty meeting was very easy and relaxing ,The faculty meeting was very simple and relaxed.,4,5
premID18,hypoID72,the crowd was a roaring river ,Dav byl malý a tichý.,0,the crowd was small and silent,The crowd was small and silent.,1,5
premID55,hypoID220,He is the apple of my eye. ,Miluji ho.,1,I love him.,I love him.,4,5
premID90,hypoID359,Mark ’s comments are an acid bath for my nerves. ,Markovy komentáře jsou dráždivé.,1,Mark ’s comments are irritating.,Mark's comments are irritating.,4,5
premID78,hypoID310,I was in a very stormy relationship ,Byl ve velmi tichém vztahu.,0,I was in a very quiet relationship,He was in a very quiet relationship.,1,5
premID9,hypoID34,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow ,Lidé procházejí kolem a lampy visící podél ulic vrhají světlo na jejich tváře.,1,people are passing by and lamps hanging along the streets cast light on their faces,"People pass by, and lamps hanging along the streets cast light on their faces.",4,5
premID150,hypoID599,The woman had a blue feeling ,Žena měla žlutý pocit.,0,The woman had a yellow feeling,The woman felt yellow.,2,5
premID16,hypoID62,my soul was a lampless sea and she was the tempest ,Na neosvětleném moři je bouře nebezpečná.,0,in a lampless sea a tempest is dangerous,"On the unlit sea, the storm is dangerous.",2,5
premID96,hypoID381,Now you can fade off to sleep. ,Nyní můžeš zmizet.,0,Now you can disappear.,Now you can disappear.,2,5
premID141,hypoID561,The roots of progress are in technological development. ,Technologický rozvoj je příčinou pokroku.,1,Technological development is the cause of progress.,Technological development is the cause of progress.,3,5
premID46,hypoID183,For the end of the year I was burned and broken ,Na konci roku byl velmi vystresovaný a chudý.,1,For the end of the year I was highly stressed and poor,He was very stressed and poor at the end of the year.,3,5
premID47,hypoID188,From its blue vase the rose of evening drops ,Západ dělá mraky zelené na černé obloze.,0,the sunset makes green the clouds in the black sky,The West makes clouds green in a black sky.,1,5
premID160,hypoID640,Time flies ,Čas zdá se ubíhá velmi rychle.,1,time seems to pass very quickly,Time seems to pass very quickly.,4,5
premID73,hypoID290,I asked for your help and you disappeared from radar ,Požádal jsem tě o pomoc a ty jsi mi laskavě pomohl.,0,I asked for your help and you kindly helped me,"I asked for your help, and you kindly helped me.",1,5
premID5,hypoID17,Success is a bastard as it has many father; failure is an orphan with no takers. ,Každý chce získat uznání za úspěch a každy chce převzít odpovědnost za selhání.,0,Everyone wants to take credit for success and everyone wants to take responsibility for a failure.,"Everyone wants credit for success, and everyone wants to take responsibility for failure.",2,5
premID104,hypoID415,The Leviathan in the ocean is a moving country. ,Leviatan v oceánu je velký.,1,The Leviathan in the ocean is large.,The leviathan in the ocean is large.,4,5
premID125,hypoID500,The girl could still remember that sweet song ,Ta dívka si stále pamatuje tu písničku o cukru.,0,the girl could still remember that song about sugar,The girl still remembers the sugar song.,2,5
premID102,hypoID405,She was just a trophy to Ricardo ,Richard jí opravdu miloval.,0,Ricardo loved her truly,Richard really loved her.,1,5
premID151,hypoID602,Their honey moon was a dream ,Jejich líbánky byly zvláštní zkušenost.,0,Their honey moon was a strange experience,Their honeymoon was a strange experience.,2,5
premID124,hypoID496,The girl broke into the conversation ,"Dívka řekla něco, co narušilo konverzaci.",1,The girl said something interrupting the conversation,The girl said something that broke up the conversation.,4,5
premID77,hypoID306,I was home watching the days slip by from my window ,"Byl jsem doma, nedělal nic, zatímco dny plynuly.",1,I was home doing nothing while days passed,"I was at home, doing nothing while the days went by.",4,5
premID29,hypoID115,After letting off his rage he sat down like a lamb. ,"Poté, co dal průchod svému vzteku, se poslušně posadil.",1,After letting off his rage he sat down in an obedient way.,"After venting his anger, he obediently sat down.",3,5
premID157,hypoID627,They were stirring excitement ,Snažili se vzbudit nadšení.,1,They were provoking excitement,They tried to inspire enthusiasm.,4,5
premID5,hypoID20,Success is a bastard as it has many father; failure is an orphan with no takers. ,Parchant měl úspěch a sirotek byl neúspěšný.,0,The bastard had success and the orphan met with failure.,The bastard was successful and the orphan was unsuccessful.,2,5
premID6,hypoID24,While his one live leg made lively echoes along the deck every stroke of his dead limb sounded like a coffin tap. ,"Zatímco jeho jedna živá noha se ozývala na palubě, každý úder jeho odumřelé končetiny byl příšerný.",1,While his one live leg made lively echoes along the deck every stroke of his dead limb was ghastly.,"While his one living leg sounded on the deck, every blow to his dead limb was horrible.",3,5
premID169,hypoID676,She said he was very sweet and he smiled ,"Řekla mu, že ho má ráda a on se usmál.",1,She said she liked him and he smiled,She told him she liked him and he smiled.,3,5
premID70,hypoID277,His friend was very tall and he looked like a chess piece beside him. ,Jeho přítel byl velmi vysoký a on vedle něho vypadal tlustý.,0,His friend was very tall and he looked fat beside him.,His friend was very tall and he looked fat next to him.,1,5
premID134,hypoID536,The new city was a maze for him. ,Nové město bylo pro něho jednoduché a jasné.,0,The new city was simple and clear for him.,The new city was simple and clear to him.,1,5
premID1,hypoID1,She was ready to turn her hand and heart to anything that promised to yield safety. ,"Byla připravena jednat a udělat cokoli, co vypadalo, že přinese bezpečnost.",1,She was ready to act and to do anything that seemed to yield safety.,She was prepared to act and do anything that looked like it would bring security.,4,5
premID66,hypoID262,Her joy was blinding ,Její radost byla mírná.,0,Her joy was mild,Her joy was mild.,2,5
premID50,hypoID197,He drowned in a sea of grief. ,Byl naštvaný a sklíčený.,1,He was angry and depressed.,He was angry and depressed.,3,5
premID145,hypoID578,The sky was on fire and he felt pain pouring down. ,Nebe bylo zelené a on cítil intenzivní bolest.,0,The sky was green and he felt an intense pain.,"The sky was green, and he felt intense pain.",1,5
premID94,hypoID373,She said that she could smell infidelity from a mile. ,"Řekla, že vše je v pořádku. ",0,She said that everything was fine.,She said everything was fine.,1,5
premID21,hypoID81,You were dying to believe in what you heard ,"Když jste umírali, nevěřili jste tomu, co jste slyšeli.",0,When you were dying you did not believe in what you heard,"When you were dying, you didn't believe what you heard.",2,5
premID182,hypoID728,She knew she was burning in shame,"Věděl, že cítí velmi mírný stud.",0,She knew she was feeling a very mild shame ,He knew he felt a very slight shame.,2,5
premID15,hypoID60,my love is a summer day ,Můj pocit lásky je velmi příjemný jako letní den.,1,my feeling of love is very pleasant like a summer day,My feeling of love is very pleasant as a summer's day.,4,5
premID12,hypoID48,it is midnight now : all masks fall ,Je odpoledne a máme párty.,0,it is afternoon and we are having a party,It's afternoon and we're having a party.,1,5
premID168,hypoID671,You will love the new train it is a heavenly ride ,"Budete milovat nový vlak, je to velmi nudná jízda.",0,You will love the new train it is a very boring ride,"You'll love the new train, it's a very boring ride.",1,5
premID74,hypoID294,I had already planted the idea in her mind. ,Už jsem ji o té myšlence přesvědčil.,1,I had already persuaded her of the idea.,I've already convinced her of the idea.,3,5
premID176,hypoID702,He thinks these documents will leak out soon or late,"Myslí si, že tyto dokumenty budou dříve nebo později zveřejněny.",1,He thinks these documents will be disclosed soon or late ,They think these documents will be released sooner or later.,4,5
premID125,hypoID499,The girl could still remember that sweet song ,Ta dívka si stále pamatuje tu děsivou písničku.,0,the girl could still remember that scary song,The girl still remembers the scary song.,1,5
premID183,hypoID730,The faculty meeting was an easy breeze,Schůze fakulty byla klidná.,1,The faculty meeting was calm ,The faculty meeting was quiet.,3,5
premID24,hypoID94,we were sinking in an ocean of grass ,Byli jsme na velmi malé prérii.,0,we were in a very small prairie,We were on a very small prairie.,2,5
premID173,hypoID692,The warrior was a lion on the battlefield,Bojovník byl na bojišti velmi chytrý.,0,The warrior was very smart on the battlefield ,The warrior was very clever on the battlefield.,2,5
premID10,hypoID38,he was feeling down hurt and sad ,Měl zlomené srdce.,1,he had a broken heart,His heart was broken.,3,6
premID165,hypoID660,When it rains in Tokyo the city becomes a sea of umbrellas. ,"Když v Tokyu prší, nenajdeš v něm deštníky.",0,When it rains in Tokyo you won't find umbrellas in it.,"When it rains in Tokyo, you won't find umbrellas in it.",1,6
premID78,hypoID312,I was in a very stormy relationship ,Náš vztah byl rutinou.,0,Our relationship was in a routine,Our relationship was routine.,1,6
premID84,hypoID333,In the worst of times we looked at hope shining in the dark ,I v nejtěžších dobách jsme byli schopni doufat a dívat se do budoucnosti.,1,Even in the most difficult times we were able to hope and look at the future,"Even in the most difficult times, we were able to hope and look to the future.",3,6
premID36,hypoID143,By that time my friend was broken so he had to sell his house ,V té době byl můj přítel ve špatné finanční situaci a musel prodat svůj dům.,1,By that time my friend was in a bad financial situation and he had to sell his house,"At the time, my friend was in a bad financial situation and had to sell his house.",4,6
premID67,hypoID265,Here comes the fool with his foggy brain ,Zde přichází blázen s brilantní myslí.,0,Here comes the fool with his brilliant mind,Here comes a fool with a brilliant mind.,1,6
premID100,hypoID400,See the sun far off a shriveled orange in a sky gone black ,Dívej se na slunce na obloze a jez scvrklý pomeranč.,0,watch the sun in the sky and eat a shriveled orange,Look at the sun in the sky and eat a shrivelled orange.,1,6
premID65,hypoID260,He was worried they might spill everything about him ,"Jedna věc ho znepokojovala, totiž to že o něm mohou vyzradit úplně vše.",1,One thing that worried him was that they might tell everything about him,One thing bothered him was that they could reveal everything about him.,4,6
premID2,hypoID6,She was sure she was living this fantasy romance and kept deluding herself ,Chtěla koupit fantasy román a pořád nás klamala.,0,she wanted to buy a fantasy romance and kept deluding us,She wanted to buy a fantasy novel and kept deceiving us.,1,6
premID14,hypoID53,life is just a dream in the night ,Vždy jsem během svého života snil v noci.,0,in my life i always dreamed during the night,I have always dreamed at night during my life.,1,6
premID31,hypoID124,Ahab was a pyramid but I kept kicking at him. ,"Ahab byl nehybný, ale já jsem se snažil změnit jeho myšlení.",1,Ahab was unmovable but I kept trying to change his mind.,"Ahab was motionless, but I tried to change his mind.",3,6
premID160,hypoID638,Time flies ,Čas plyne pomalu.,0,time is slow,Time passes slowly.,1,6
premID127,hypoID506,The house was a tomb. ,Dům byl jasný.,0,The house was bright.,The house was bright.,1,6
premID149,hypoID594,The woman burst in a warm laughter ,Žena se náhle rozesmála půvabným a milým smíchem.,1,The woman burst in a nice and pleasant laughter,"The woman suddenly laughed a lovely, sweet laugh.",4,6
premID113,hypoID452,He felt a wave of excitement ,Cítil se vzrušený.,1,he felt excited,He felt excited.,3,6
premID146,hypoID583,The soldiers were devils. ,Vojáci byli nadšení a živí.,0,The soldiers were excited and lively.,The soldiers were excited and alive.,1,6
